NodeCount,SimCnt,CompileTime,KeyGenerationTime,EncryptionTime,ExecutionTime,DecryptionTime,ReferenceExecutionTime,Mse
12,0,17.91744,145.13805,64.76778,304.25852,27.09065,15.19009,0.000001506
12,1,17.36148,136.21195,61.68008,301.15739,24.90320,13.85505,0.000001393
12,2,16.83027,167.18943,57.61145,290.90911,23.68648,13.70454,0.000001666
12,3,17.63646,168.56252,64.64175,289.44321,25.85196,13.70179,0.000001258
12,4,19.62773,178.51457,64.26943,326.37950,25.93226,14.97653,0.000003039
12,5,17.90905,142.45254,65.76498,311.07494,26.20554,14.66765,0.000002241
12,6,17.31731,128.36775,59.95246,286.42947,24.13746,13.85793,0.000002127
12,7,19.86041,150.46478,65.36216,326.43471,25.35054,15.74728,0.000000992
12,8,15.21293,143.01144,52.18812,254.66177,21.45292,11.92690,0.000000920
12,9,17.31254,143.16872,66.42605,286.03223,26.58981,16.00138,0.000001301
16,0,34.70692,224.96322,87.71227,524.68660,36.25975,26.65199,0.000002364
16,1,29.52126,205.55659,81.20850,464.24514,34.37222,22.97938,0.000001471
16,2,32.68821,203.30766,84.88824,531.40191,35.80163,25.29740,0.000002767
16,3,38.77537,181.86322,84.51012,552.59140,33.78705,25.82053,0.000002648
16,4,32.33970,210.47569,82.93076,515.90758,34.52105,24.59692,0.000001772
16,5,33.50270,241.35509,84.58440,530.20715,34.95031,25.09841,0.000002196
16,6,28.66680,205.40738,80.17026,446.74969,33.43271,22.50068,0.000002104
16,7,34.71473,229.26797,86.82727,540.25563,36.13357,26.71774,0.000001205
16,8,32.38227,231.52501,88.54225,520.13297,35.90236,24.47614,0.000002809
16,9,31.32401,206.81004,78.86895,502.33375,31.44562,22.99032,0.000001954
20,0,57.22383,286.43040,103.03321,815.29402,42.61229,37.87543,0.000003539
20,1,54.24202,251.45749,98.94755,778.40311,40.92055,36.32710,0.000003498
20,2,49.79162,301.67640,103.76247,715.22679,42.49534,33.26274,0.000003694
20,3,56.74563,259.50733,104.46209,797.81654,42.70520,36.55787,0.000002916
20,4,57.78823,226.14243,97.57874,817.04329,40.10156,38.12096,0.000002457
20,5,55.07810,225.73926,82.57989,757.08083,33.42647,35.09588,0.000001858
20,6,59.97715,239.33569,100.36711,831.03404,41.20920,37.77395,0.000004175
20,7,58.01738,303.61386,102.03358,827.40230,42.25595,38.15349,0.000003618
20,8,61.28036,226.67698,91.40131,835.67956,38.08290,39.22052,0.000003060
20,9,54.33054,266.58939,92.96682,745.73680,38.03805,35.33667,0.000002105
24,0,76.65071,337.81580,120.81135,1020.49390,50.41946,48.45368,0.000003208
24,1,85.16265,377.38670,124.11429,1136.30777,51.23516,52.61824,0.000002738
24,2,91.12221,350.35823,123.42692,1175.05842,50.77597,53.49140,0.000002234
24,3,80.01699,319.97201,114.56836,1062.46889,46.99395,49.23268,0.000002650
24,4,85.53397,356.65512,117.80309,1122.00519,48.82086,50.96809,0.000002609
24,5,86.05903,301.70521,125.82314,1121.33450,51.12783,51.97393,0.000003182
24,6,78.58190,272.81597,102.12779,1020.00551,41.88427,47.33449,0.000003616
24,7,90.35344,302.16884,112.77905,1167.47120,46.55904,53.49306,0.000003207
24,8,83.98340,371.36522,117.12810,1085.04502,48.87686,50.57936,0.000003900
24,9,86.22626,352.10758,124.78764,1088.76489,51.18863,50.80617,0.000003500
