NodeCount,SimCnt,CompileTime,KeyGenerationTime,EncryptionTime,ExecutionTime,DecryptionTime,ReferenceExecutionTime,Mse
12,0,21.59665,175.84168,69.97049,345.81218,25.82939,14.87436,0.000000900
12,1,15.70159,112.43330,52.53489,267.46412,21.46261,12.19545,0.000000951
12,2,12.91890,166.91158,64.69849,225.09173,26.84149,11.24997,0.000000917
12,3,11.59038,118.91021,47.80863,194.69497,20.30893,10.25166,0.000001208
12,4,16.07372,118.56653,47.55428,264.59486,19.08803,12.80507,0.000000816
12,5,16.82955,135.81591,58.17411,285.95048,23.39357,13.15732,0.000001858
12,6,18.26918,164.92483,65.41013,298.15278,26.32568,14.84253,0.000001290
12,7,15.89835,190.34799,65.10212,287.84131,26.80060,13.92174,0.000000941
12,8,15.06515,134.52096,52.95907,257.39449,22.05712,12.08575,0.000000951
12,9,16.94857,161.19278,58.53099,300.08786,23.99102,13.97059,0.000001323
12,10,12.89325,137.31864,62.29012,228.70844,26.34913,11.64703,0.000002222
12,11,13.46107,134.02062,58.20140,243.67447,25.18594,12.29405,0.000001541
12,12,17.85678,148.26910,65.44082,313.99893,25.48698,14.73117,0.000002888
12,13,16.69790,119.84104,59.23710,289.44873,23.30805,13.78311,0.000001414
12,14,16.89895,159.05077,55.75797,279.74057,23.10509,13.57901,0.000001432
12,15,15.11888,118.25927,47.19600,245.91478,18.91521,11.75212,0.000001512
12,16,15.25954,118.74367,51.72162,255.08408,21.14707,12.37940,0.000001699
12,17,13.76212,126.93738,57.08745,237.35163,23.39954,11.86179,0.000001052
12,18,15.08760,156.69410,57.05098,263.18408,23.73326,12.81892,0.000002869
12,19,15.20931,136.40124,57.01345,250.56437,24.20434,12.46300,0.000001159
12,20,13.17793,116.20304,40.03384,220.54782,16.35024,10.52291,0.000001355
12,21,18.71355,160.22816,65.36032,316.84191,25.95450,14.59018,0.000001387
12,22,18.26327,179.45581,63.20315,302.67657,25.66161,15.04959,0.000001463
12,23,16.58351,157.35869,58.44519,273.88670,23.74899,13.65412,0.000001797
12,24,14.67332,145.39958,60.38727,248.23740,23.96980,11.86532,0.000001741
12,25,16.25028,141.41214,61.43867,274.21232,25.64036,13.14872,0.000002205
12,26,18.60058,168.05328,59.68877,317.43800,23.56874,14.59673,0.000002553
12,27,16.25725,142.86473,63.24605,277.78355,25.58660,13.33689,0.000002229
12,28,17.00238,161.45456,56.21926,297.41895,23.30287,13.98502,0.000001692
12,29,17.93288,155.17946,61.15001,304.45040,25.80034,14.53323,0.000003278
12,30,17.43304,149.07171,62.43344,278.52775,25.42528,13.63677,0.000000700
12,31,16.19183,147.20494,57.16647,290.94454,23.28181,13.68135,0.000000916
12,32,14.45787,129.07097,51.18254,244.61260,21.19517,11.53948,0.000000830
12,33,16.21885,145.70817,57.20098,268.59295,23.29282,12.59805,0.000000603
12,34,14.42521,145.01252,55.47404,248.50366,23.42806,11.95909,0.000001628
12,35,17.15488,129.85221,56.43648,272.81238,23.42523,13.23919,0.000001001
12,36,17.75203,148.66815,58.89699,289.44345,23.47613,14.00473,0.000000757
12,37,15.56299,150.49143,58.83547,265.28428,23.92237,12.88642,0.000002132
12,38,19.24602,176.71553,58.09748,318.69429,23.68880,15.25124,0.000001349
12,39,13.47229,166.62789,57.33512,236.22310,23.65559,11.36206,0.000000879
12,40,16.32298,141.93075,56.34947,284.12843,24.48143,13.59966,0.000000969
12,41,14.59087,118.21811,53.83896,246.51938,22.38961,12.16626,0.000000752
12,42,17.59413,181.86132,60.97022,310.62335,23.92488,14.40248,0.000002465
12,43,15.22706,185.93839,62.15717,269.23958,26.03841,13.23227,0.000001019
12,44,18.93106,141.03024,63.01235,323.71231,25.55375,15.26320,0.000001149
12,45,13.31271,130.40831,57.47052,225.19829,23.76278,11.38076,0.000000660
