NodeCount,SimCnt,CompileTime,KeyGenerationTime,EncryptionTime,ExecutionTime,DecryptionTime,ReferenceExecutionTime,Mse
12,0,16.80955,157.27384,65.49437,283.52286,27.68915,3.73974,0.000008816
12,1,14.76064,161.67167,57.55500,252.47448,23.56309,2.97232,0.000006654
12,2,15.23687,167.73462,60.47821,234.40944,24.84136,2.68301,0.000017267
12,3,16.54253,163.35343,58.56626,271.64828,23.51566,3.19064,0.000009432
12,4,16.83744,143.63825,60.69310,295.17471,25.35629,3.38195,0.000014859
12,5,18.19073,129.38199,55.76183,305.61111,23.31240,3.53207,0.000011812
12,6,15.56027,151.41186,61.70859,254.74317,25.64482,3.08299,0.000008870
12,7,17.44475,144.34172,57.99166,298.98089,24.03165,3.39505,0.000008529
12,8,15.98384,162.45826,61.86905,260.27575,26.02353,3.03410,0.000010165
12,9,18.66231,143.76902,62.73375,304.61094,25.54464,3.25271,0.000009274
12,10,17.06148,167.53050,60.53256,292.11540,25.80541,3.52692,0.000015004
12,11,14.27317,148.99103,52.76643,242.57750,21.78929,2.81902,0.000008351
12,12,15.12286,117.70537,46.88035,243.38209,19.35002,2.84628,0.000010578
12,13,15.18371,133.04566,52.04230,267.30703,21.56959,3.02863,0.000003955
12,14,14.85290,136.74453,58.43042,254.61321,23.37520,2.80621,0.000011246
12,15,14.58047,144.01592,55.48492,248.69327,23.25055,2.77256,0.000004272
12,16,14.21102,138.49562,56.42537,241.10028,22.66353,2.66752,0.000014147
12,17,15.63018,128.64264,54.47053,259.48866,23.46958,3.11534,0.000009315
12,18,16.71739,164.79049,62.10340,285.69045,25.80190,3.25638,0.000010718
12,19,13.41624,150.13656,56.54942,240.67856,23.81781,3.08084,0.000009769
12,20,13.82082,114.46752,45.46475,226.94856,18.79891,2.45411,0.000003583
12,21,14.17732,121.61109,50.20077,237.50974,22.05932,3.09600,0.000001975
12,22,17.41294,134.80506,56.22953,297.52928,23.05528,3.23568,0.000009378
