NodeCount,SimCnt,CompileTime,KeyGenerationTime,EncryptionTime,ExecutionTime,DecryptionTime,ReferenceExecutionTime,Mse
12,0,6.62014,73.93455,25.23997,117.91821,10.81844,5.85906,0.000000345
12,1,7.79189,80.04856,32.66313,133.63831,13.39261,6.48849,0.000000782
12,2,6.17996,55.07643,20.27076,96.38572,8.08455,4.56643,0.000000437
12,3,6.48091,50.69761,19.14473,98.04171,8.05612,5.03771,0.000000556
12,4,6.47226,69.65839,25.09498,118.20064,10.12102,5.73015,0.000001014
12,5,5.67778,51.79993,18.35472,91.33340,8.15055,4.62036,0.000000389
12,6,6.70227,77.53811,30.88055,111.26998,12.24328,5.55886,0.000000507
12,7,7.65693,85.21568,30.41963,126.02405,13.04429,6.10299,0.000000699
12,8,6.43363,63.96777,26.04520,98.39892,10.03662,4.89408,0.000000645
12,9,6.87457,54.22463,20.23342,111.81206,8.46911,5.21072,0.000000835
12,10,8.55935,89.25380,36.67686,126.04405,14.21773,6.03725,0.000001085
12,11,6.53240,76.39670,31.16946,115.03755,12.76619,5.89185,0.000000490
12,12,7.48904,66.74258,25.52594,117.81321,10.72051,5.79789,0.000000503
12,13,5.69959,49.95935,18.74416,84.53980,7.50068,4.04268,0.000000296
12,14,6.19924,61.17379,24.40974,106.66647,10.37722,5.29281,0.000000304
12,15,7.54625,71.79409,26.08129,118.55753,10.35572,5.81311,0.000000473
12,16,7.12886,66.43744,26.31542,116.10789,10.76009,5.84154,0.000000688
12,17,7.01944,70.12339,24.61443,115.59361,10.50502,5.76982,0.000000264
12,18,8.24034,96.15685,42.81372,124.83000,18.31935,6.85445,0.000001374
12,19,5.54859,54.24208,19.13595,94.97674,7.87311,4.52144,0.000000576
12,20,6.34348,64.70658,24.81524,85.52460,9.94351,4.36085,0.000000842
12,21,6.18710,47.55371,18.47817,99.95879,8.29503,5.19619,0.000000507
12,22,5.67241,52.69012,19.91459,85.72146,8.05658,4.13535,0.000000491
12,23,6.53204,66.79658,25.34439,109.82507,10.35713,5.07577,0.000000746
12,24,7.09484,63.35353,24.18623,107.55007,10.10031,5.45457,0.000000524
12,25,7.61075,100.68425,38.97209,121.79829,16.55386,6.17754,0.000001308
12,26,5.74567,53.38306,19.64232,87.49455,7.73583,4.26561,0.000000620
12,27,5.29641,51.23277,18.92854,83.21753,7.97912,3.92029,0.000000672
12,28,4.94257,48.28619,18.77640,80.87667,8.00790,4.12135,0.000000423
12,29,6.32212,56.74404,18.95156,107.67570,8.29338,5.28905,0.000000597
12,30,6.46112,53.00368,18.56504,103.34654,8.73491,5.02421,0.000000412
12,31,5.00551,50.75723,19.28863,76.94286,7.91205,4.21907,0.000000093
12,32,5.86804,53.44085,19.11068,93.50445,8.12716,4.81779,0.000000754
12,33,7.37320,88.30185,37.23391,119.03986,16.54976,6.46636,0.000000771
12,34,4.78575,51.31268,19.10767,79.33362,7.67748,3.93663,0.000000280
12,35,5.47868,66.48882,25.19501,96.07901,10.25112,4.95667,0.000000453
12,36,7.02984,50.37424,19.93111,98.94332,8.20562,4.80729,0.000000424
12,37,7.70812,72.61108,25.08911,122.08826,10.36655,6.85764,0.000000296
12,38,6.86610,50.19919,19.53493,107.18575,8.09008,5.74901,0.000000235
12,39,5.98766,57.39037,19.54986,105.49413,8.09977,4.92263,0.000000132
12,40,6.35641,76.83042,30.75949,107.47728,12.02239,5.28865,0.000001503
12,41,8.89824,111.81862,48.32401,142.52794,19.88443,7.78809,0.000001660
12,42,6.43864,69.54408,25.26841,110.90405,10.49770,5.68950,0.000000552
12,43,6.39415,55.57098,24.65444,100.15012,10.22121,5.02719,0.000000200
12,44,6.52120,64.36875,25.32606,101.01745,10.87607,5.09699,0.000001118
12,45,8.65969,93.14370,37.81495,134.75949,14.97039,6.95558,0.000000627
12,46,5.26925,49.64262,18.35341,85.24363,7.63805,4.36599,0.000000255
12,47,5.42197,62.54451,24.78349,95.83084,10.16050,4.83357,0.000000433
12,48,5.98758,45.83576,18.21316,95.04094,7.59289,4.67351,0.000000313
12,49,6.59924,61.82133,19.13493,102.92587,8.20443,5.14512,0.000000401
12,50,6.26111,72.75657,24.14125,105.96952,10.69810,5.25140,0.000001709
12,51,8.34546,93.07239,30.06519,125.80409,12.46774,6.43488,0.000001443
12,52,6.39214,73.61904,30.79195,104.42794,12.33506,5.28793,0.000000122
12,53,5.18229,52.71900,19.82302,84.32140,8.17885,4.56404,0.000000341
12,54,5.64335,60.65093,25.44777,92.88804,10.46160,4.91999,0.000000407
12,55,4.61182,36.20523,12.97716,64.55885,5.57969,3.22933,0.000000294
12,56,8.23941,98.28283,40.90056,130.94727,17.35941,7.01203,0.000000652
12,57,6.07043,58.68120,25.29265,98.39996,10.21141,5.19818,0.000000186
